"odd_objectif","indicateur_nombre","indicateur_nom","cible_nom","année_courante","valeure_courante","unité_calcul","statut_progrès"
"1","1.1.1","Proportion de la population vivant en dessous du seuil de pauvreté fixé au niveau international, par sexe, âge, situation dans l’emploi et lieu de résidence (zone urbaine/zone rurale)","D’ici à 2030, éliminer complètement l’extrême pauvreté dans le monde entier (s’entend actuellement du fait de vivre avec moins de 1,25 dollar des États-Unis par jour)",NA,NA,NA,"Non disponible"
"1","1.2.1","Proportion de la population vivant au-dessous du seuil national de pauvreté, par sexe et âge","D’ici à 2030, réduire de moitié au moins la proportion d’hommes, de femmes et d’enfants de tous âges souffrant d’une forme ou l’autre de pauvreté, telle que définie par chaque pays",2023,10.2,"Percentage (%)","Sur la bonne voie"
"1","1.2.2","Proportion d’hommes, de femmes et d’enfants de tous âges vivant dans la pauvreté sous toutes ses formes, selon les définitions nationales","D’ici 2030, réduire au moins de moitié la proportion d’hommes, de femmes et d’enfants de tous âges souffrant d’une forme ou l’autre de pauvreté, telle que définie par chaque pays",NA,NA,NA,"Non disponible"
"1","1.3.1","Pourcentage de la population couverte par des seuils/systèmes de protection sociale ventilés par sexe, et en distinguant les enfants, les chômeurs, les personnes âgées, les personnes handicapées, les femmes enceintes/nouveau-nés, les victimes d’accidents du travail, les pauvres et les vulnérables","Mettre en œuvre des systèmes et des mesures de protection sociale appropriés au niveau national pour tous, y compris des seuils, et atteindre d'ici 2030 une couverture substantielle des pauvres et des personnes vulnérables.",2021,93.2,"Percentage (%)","Progrès limités"
"1","1.4.1","Proportion de la population vivant dans des ménages ayant accès aux services de base","D'ici à 2030, faire en sorte que tous les hommes et les femmes, en particulier les pauvres et les personnes vulnérables, aient les mêmes droits aux ressources économiques et qu'ils aient accès aux services de base, à la propriété foncière, au contrôle des terres et à d'autres formes de propriété, à l'héritage, aux ressources naturelles et à des nouvelles technologies et des services financiers adaptés à leurs besoins, y compris la microfinance",2024,98.3,"Percentage (%)","Progrès limités"
"1","1.4.2","Proportion de la population adulte totale qui dispose de la sécurité des droits fonciers a) de documents légalement authentifiés et b) qui considère que ses droits sur la terre sont sûrs, par sexe et par type","D'ici à 2030, faire en sorte que tous les hommes et les femmes, en particulier les pauvres et les personnes vulnérables, aient les mêmes droits aux ressources économiques et qu'ils aient accès aux services de base, à la propriété foncière, au contrôle des terres et à d'autres formes de propriété, à l'héritage, aux ressources naturelles et à des nouvelles technologies et des services financiers adaptés à leurs besoins, y compris la microfinance",NA,NA,NA,"Non disponible"
"1","1.5.1","Nombre de personnes décédées, disparues ou directement touchées lors de catastrophes, pour 100 000 personnes","D’ici à 2030, renforcer la résilience des pauvres et des personnes en situation vulnérable et réduire leur exposition aux phénomènes climatiques extrêmes et à d’autres chocs et catastrophes d’ordre économique, social ou environnemental et leur vulnérabilité",2020,35.38,NA,"Sur la bonne voie"
"1","1.5.2","Pertes économiques directement attribuables à des catastrophes par rapport au produit intérieur brut (PIB)","D’ici à 2030, renforcer la résilience des pauvres et des personnes en situation vulnérable et réduire leur exposition aux phénomènes climatiques extrêmes et à d’autres chocs et catastrophes d’ordre économique, social ou environnemental et leur vulnérabilité",2019,0.01,"Percentage (%)","Sur la bonne voie"
"1","1.5.3","Stratégies nationales de réduction des risques de catastrophe conformes au Cadre d'action de Sendai pour la réduction des risques de catastrophe (2015-2030) qui ont été adoptées et implémentées","D’ici à 2030, renforcer la résilience des pauvres et des personnes en situation vulnérable et réduire leur exposition aux phénomènes climatiques extrêmes et à d’autres chocs et catastrophes d’ordre économique, social ou environnemental et leur vulnérabilité",NA,NA,NA,"Cible atteinte"
"1","1.5.4","Administrations locales ayant adopté et mis en place des stratégies locales de réduction des risques de catastrophe, conformément aux stratégies suivies à l’échelle nationale","D’ici à 2030, renforcer la résilience des pauvres et des personnes en situation vulnérable et réduire leur exposition aux phénomènes climatiques extrêmes et à d’autres chocs et catastrophes d’ordre économique, social ou environnemental et leur vulnérabilité",NA,NA,"TRUE","Cible atteinte"
"1","1.a.1","Total des dons d’aide publique au développement (APD) axés sur la réduction de la pauvreté, tous donateurs confondus, exprimé en proportion du revenu national brut du pays bénéficiaire","Garantir une mobilisation importante de ressources provenant de sources multiples, y compris par le renforcement de la coopération pour le développement, afin de doter les pays en développement, en particulier les pays les moins avancés, de moyens adéquats et prévisibles de mettre en œuvre des programmes et politiques visant à mettre fin à la pauvreté sous toutes ses formes.",2023,0.03,"Percentage of GNI (%)","Détérioration"
"1","1.b.1","Indicateur 1.b.1  : Dépenses sociales publiques favorables aux pauvres","Mettre en place aux niveaux national, régional et international des cadres d’action 
viables, fondés sur des stratégies de développement favorables aux pauvres et soucieuses de la 
problématique hommes-femmes, afin d’accélérer l’investissement dans des mesures d’élimination 
de la pauvreté.",NA,NA,NA,"Non disponible"
"1","1.a.2","Proportion des dépenses publiques totales consacrées aux services essentiels (éducation, santé et protection sociale)","Garantir une mobilisation importante de ressources provenant de sources multiples, y compris par le renforcement de la coopération pour le développement, afin de doter les pays en développement, en particulier les pays les moins avancés, de moyens adéquats et prévisibles de mettre en œuvre des programmes et politiques visant à mettre fin à la pauvreté sous toutes ses formes.",2024,60.9,"Percentage (%)","Détérioration"
"2","2.1.1","Prévalence de la sous-alimentation","D’ici 2030, éliminer la faim et faire en sorte que chacun, en particulier les pauvres et les personnes en situation vulnérable, y compris les nourrissons, ait accès toute l’année à une alimentation saine, nutritive et suffisante",2023,2.5,NA,"Cible atteinte"
"2","2.1.2","Pourcentage de personnes vivant avec de l'insécurité alimentaire","D’ici 2030, éliminer la faim et faire en sorte que chacun, en particulier les pauvres et les personnes en situation vulnérable, y compris les nourrissons, ait accès toute l’année à une alimentation saine, nutritive et suffisante",2023,19.1,"Percentage (%)","Détérioration"
"2","2.2.1","Prévalence du retard de croissance (indice taille/âge inférieur à -2 écarts types par rapport à la médiane des normes de croissance de l’enfant définies par l’OMS) chez les enfants de moins de 5 ans","Objectif 2.2 : D'ici 2030, mettre fin à toutes formes de malnutrition, notamment en atteignant d'ici 2025 les objectifs convenus au niveau international concernant le retard de croissance et l'émaciation chez les enfants de moins de cinq ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes et allaitantes et des personnes âgées.",NA,NA,NA,"Non disponible"
"2","2.2.2","Prévalence de la malnutrition (indice poids/taille supérieur à +2 écarts types ou inférieur à -2 écarts types par rapport à la médiane des normes de croissance de l'enfant définies par l'OMS chez les enfants de moins de 5 ans, par forme (surpoids et émaciation)","Objectif 2.2 : D'ici 2030, mettre fin à toutes formes de malnutrition, notamment en atteignant d'ici 2025 les objectifs convenus au niveau international concernant le retard de croissance et l'émaciation chez les enfants de moins de cinq ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes et allaitantes et des personnes âgées.",NA,NA,NA,"Non disponible"
"2","2.2.3","Prévalence de l’anémie chez les femmes âgées de 15 à 49 ans, selon l’état de grossesse (pourcentage)","D’ici 2030, mettre fin à toutes les formes de malnutrition, notamment en atteignant d’ici 2025 les objectifs arrêtés à l’échelle internationale relatifs aux retards de croissance et à l’émaciation chez les enfants de moins de 5 ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes ou allaitantes et des personnes âgées",2019,10.4,"Percentage (%)","Détérioration"
"2","2.2.4","Prévalence de la diversité alimentaire minimale, par groupe de population (enfants âgés de 6 à 23,9 mois et femmes non enceintes âgées de 15 à 49 ans)","D’ici 2030, mettre fin à toutes les formes de malnutrition, notamment en atteignant d’ici 2025 les objectifs arrêtés à l’échelle internationale relatifs aux retards de croissance et à l’émaciation chez les enfants de moins de 5 ans, et répondre aux besoins nutritionnels des adolescentes, des femmes enceintes ou allaitantes et des personnes âgées",NA,NA,NA,"Non disponible"
"2","2.3.1","Volume de production par unité de travail par catégorie de taille d’entreprise agricole/pastorale/forestière","D'ici 2030, doubler la productivité agricole et les revenus des petits producteurs de denrées alimentaires, en particulier des femmes, des populations autochtones, des agriculteurs familiaux, des éleveurs et des pêcheurs, notamment grâce à un accès sûr et égal à la terre, aux autres ressources productives et aux intrants, aux connaissances, aux services financiers, aux marchés et aux possibilités de création de valeur ajoutée et d'emplois non agricoles",NA,NA,"Index","Non disponible"
"2","2.3.2","Revenu moyen des petits producteurs alimentaires, selon le sexe et le statut d’autochtone","D'ici 2030, doubler la productivité agricole et les revenus des petits producteurs de denrées alimentaires, en particulier des femmes, des populations autochtones, des agriculteurs familiaux, des éleveurs et des pêcheurs, notamment grâce à un accès sûr et égal à la terre, aux autres ressources productives et aux intrants, aux connaissances, aux services financiers, aux marchés et aux possibilités de création de valeur ajoutée et d'emplois non agricoles",NA,NA,NA,"Non disponible"
"2","2.4.1","Progrès vers une agriculture productive et durable","D'ici à 2030, assurer la viabilité des systèmes de production alimentaire et mettre en œuvre des pratiques agricoles résilientes qui augmentent la productivité et la production, qui contribuent à préserver les écosystèmes, qui renforcent la capacité d'adaptation au changement climatique, aux conditions météorologiques extrêmes, à la sécheresse, aux inondations et à d'autres catastrophes, et qui améliorent progressivement la qualité des terres et des sols",2023,4.17,"Score","Des progrès ont été réalisés, mais une accélération est nécessaire"
"2","2.5.1","Nombre de ressources génétiques animales et végétales destinées à l’alimentation et à l’agriculture sécurisées dans des installations de conservation à moyen ou à long terme","D’ici à 2020, préserver la diversité génétique des semences, des cultures et des animaux d’élevage ou domestiqués et des espèces sauvages apparentées, y compris au moyen de banques de semences et de plantes bien gérées et diversifiées aux niveaux national, régional et international, et favoriser l’accès aux avantages que présentent l’utilisation des ressources génétiques et du savoir traditionnel associé ainsi que le partage juste et équitable de ces avantages, comme convenu à l’échelle internationale.",2019,115000,"Number","Des progrès ont été réalisés, mais une accélération est nécessaire"
"2","2.5.2","Proportion des races locales considérées comme étant en danger d’extinction","D’ici à 2020, préserver la diversité génétique des semences, des cultures et des animaux d’élevage ou domestiqués et des espèces sauvages apparentées, y compris au moyen de banques de semences et de plantes bien gérées et diversifiées aux niveaux national, régional et international, et favoriser l’accès aux avantages que présentent l’utilisation des ressources génétiques et du savoir traditionnel associé ainsi que le partage juste et équitable de ces avantages, comme convenu à l’échelle internationale.",2019,86,"Percentage (%)","Non disponible"
"2","2.a.1","Indice d’orientation agricole des dépenses publiques","Accroître, notamment grâce au renforcement de la coopération internationale, l’investissement dans l’infrastructure rurale, les services de recherche et de vulgarisation agricoles et la mise au point de technologies et de banques de plantes et de gènes d’animaux d’élevage, afin de renforcer les capacités productives agricoles des pays en développement, en particulier des pays les moins avancés.",2023,1.93,NA,"Progrès limités"
"2","2.b.1","Subventions à l’exportation dans le secteur agricole","Corriger et prévenir les restrictions et distorsions entravant le fonctionnement des marchés agricoles mondiaux, y compris par l’élimination parallèle de toutes les formes de subventions aux exportations agricoles et de toutes les mesures à l’exportation ayant un effet équivalent, conformément au mandat du Cycle de négociations de Doha pour le développement",2023,0,"CAD (Thousands)","Cible atteinte"
"2","2.c.1","Indicateur d’anomalies des prix alimentaires","Adopter des mesures visant à assurer le bon fonctionnement des marchés de denrées alimentaires et de produits dérivés et à faciliter l’accès rapide aux informations relatives à ces marchés, y compris le niveau des réserves alimentaires, afin de contribuer à limiter l’extrême volatilité des prix alimentaires",2023,0.89,NA,"Détérioration"
